DOMAIN	SUPERGROUP	HIGHER_RANK	CLASS	ORDER	FAMILY	GENUS	NUTRITION	MORPHOLOGY	LOCOMOTION	HABITAT	REFERENCES	COMMENTS								
Eukaryota	Rhizaria	Rhizaria_X	Rhizaria_XX	Rhizaria_XXX	Rhizaria_XXXX	Rhizaria_XXXXX	NA	NA	NA	NA										
Eukaryota	Rhizaria	Endomyxa	Endomyxa_X	Endomyxa_XX	Endomyxa_XXX	Endomyxa_XXXX	NA	NA	NA	NA										
Eukaryota	Rhizaria	Endomyxa	Gromiidea	Reticulosida	Reticulosida_X	Filoreta	bacterivore	naked_amoeba	gliding	marine	Bass et al. 2009a									
Eukaryota	Rhizaria	Endomyxa	Gromiidea	Gromiida	Gromiida_X	Gromia	NA	testate_cell_organic	gliding	marine	Da Silva et al. 2006									
Eukaryota	Rhizaria	Endomyxa	Ascetosporea	Ascetosporea_X	Ascetosporea_XX	Ascetosporea_XXX	animal_parasite	endoparasite	non_motile	ubiquitous										
Eukaryota	Rhizaria	Endomyxa	Ascetosporea	Haplosporida	Haplosporida_X	Haplosporida_XX	animal_parasite	endoparasite	non_motile	ubiquitous	Azevedo & Hine 2017									
Eukaryota	Rhizaria	Endomyxa	Ascetosporea	Haplosporida	Haplosporida_X	Haplosporidium	animal_parasite	endoparasite	non_motile	ubiquitous	Azevedo & Hine 2017									
Eukaryota	Rhizaria	Endomyxa	Ascetosporea	Haplosporida	Haplosporida_X	Bonamia	animal_parasite	endoparasite	non_motile	marine	Azevedo & Hine 2017									
Eukaryota	Rhizaria	Endomyxa	Ascetosporea	Haplosporida	Haplosporida_X	Minchinia	animal_parasite	endoparasite	non_motile	marine	Azevedo & Hine 2017									
Eukaryota	Rhizaria	Endomyxa	Ascetosporea	Haplosporida	Haplosporida_X	Urosporidium	animal_parasite	endoparasite	non_motile	marine	Azevedo & Hine 2017									
Eukaryota	Rhizaria	Endomyxa	Ascetosporea	Microcytida	Microcytida_X	Microcytida_XX	animal_parasite	endoparasite	non_motile	ubiquitous	Bass et al. 2019									
Eukaryota	Rhizaria	Endomyxa	Ascetosporea	Microcytida	Microcytida_X	Mikrocytos	animal_parasite	endoparasite	non_motile	marine	Bass et al. 2019									
Eukaryota	Rhizaria	Endomyxa	Ascetosporea	Microcytida	Microcytida_X	Paramikrocytos	animal_parasite	endoparasite	non_motile	marine	Bass et al. 2019									
Eukaryota	Rhizaria	Endomyxa	Ascetosporea	Paramyxida	Paramyxida_X	Paramyxida_XX	animal_parasite	endoparasite	non_motile	marine	Bass et al. 2019									
Eukaryota	Rhizaria	Endomyxa	Ascetosporea	Paramyxida	Paramyxida_X	Marteilia	animal_parasite	endoparasite	non_motile	marine	Bass et al. 2019									
Eukaryota	Rhizaria	Endomyxa	Ascetosporea	Paramyxida	Paramyxida_X	Paramyxa	animal_parasite	endoparasite	non_motile	marine	Bass et al. 2019									
Eukaryota	Rhizaria	Endomyxa	Ascetosporea	Paramyxida	Paramyxida_X	Paramarteilia	animal_parasite	endoparasite	non_motile	marine	Bass et al. 2019									
Eukaryota	Rhizaria	Endomyxa	Ascetosporea	Paramyxida	Paramyxida_X	Marteiloides	animal_parasite	endoparasite	non_motile	marine	Bass et al. 2019									
Eukaryota	Rhizaria	Endomyxa	Ascetosporea	Paramyxida	Paramyxida_X	Eomarteilia	animal_parasite	endoparasite	non_motile	marine	Bass et al. 2019									
Eukaryota	Rhizaria	Endomyxa	Ascetosporea	Paramyxida	Paradiniidae	Paradiniidae_X	animal_parasite	endoparasite	non_motile	marine	Bass et al. 2019	Also possessing an ephemeral flagellate stage or an amoeboid feeding form and a flagellate locomotive form.								
Eukaryota	Rhizaria	Endomyxa	Ascetosporea	Paramyxida	Paradiniidae	Paradinium	animal_parasite	endoparasite	non_motile	marine	Bass et al. 2019	Also possessing an ephemeral flagellate stage or an amoeboid feeding form and a flagellate locomotive form.								
Eukaryota	Rhizaria	Endomyxa	Phytomyxea	Phytomyxea_X	Phytomyxea_XX	Phytomyxea_XXX	NA	endoparasite	non_motile	soil_and_freshwater		Also possessing an ephemeral flagellate stage or an amoeboid feeding form and a flagellate locomotive form.								
Eukaryota	Rhizaria	Endomyxa	Phytomyxea	Plasmodiophorida	Plasmodiophorida_X	Plasmodiophorida_XX	NA	endoparasite	non_motile	soil_and_freshwater	Neuhauser et al. 2014	Also possessing an ephemeral flagellate stage or an amoeboid feeding form and a flagellate locomotive form.								
Eukaryota	Rhizaria	Endomyxa	Phytomyxea	Plasmodiophorida	Plasmodiophoridae	Plasmodiophoridae_X	NA	endoparasite	non_motile	soil_and_freshwater	Neuhauser et al. 2014	Also possessing an ephemeral flagellate stage or an amoeboid feeding form and a flagellate locomotive form.								
Eukaryota	Rhizaria	Endomyxa	Phytomyxea	Plasmodiophorida	Plasmodiophoridae	Plasmodiophora	plant_parasite	endoparasite	non_motile	soil_and_freshwater	Neuhauser et al. 2014	Also possessing an ephemeral flagellate stage or an amoeboid feeding form and a flagellate locomotive form.								
